Score, Predict
1.00, 0.87
1.00, 0.86
0.86, 0.88
0.12, 0.79
0.50, 0.84
1.00, 0.87
0.71, 0.85
0.00, 0.74
1.00, 0.87
0.89, 0.85
0.10, 0.84
0.11, 0.86
1.00, 0.87
0.00, 0.79
1.00, 0.81
1.00, 0.87
0.25, 0.85
1.00, 0.88
1.00, 0.87
0.00, 0.79
0.78, 0.88
0.40, 0.84
1.00, 0.87
1.00, 0.84
1.00, 0.85
1.00, 0.87
0.00, 0.81
0.14, 0.76
1.00, 0.87
1.00, 0.87
0.00, 0.75
0.90, 0.80
0.70, 0.86
1.00, 0.86
1.00, 0.87
0.90, 0.84
1.00, 0.85
1.00, 0.87
1.00, 0.87
0.11, 0.75
0.50, 0.85
0.22, 0.77
0.88, 0.86
1.00, 0.87
0.86, 0.88
0.00, 0.86
0.90, 0.87
0.80, 0.86
0.38, 0.75
1.00, 0.85
0.89, 0.79
0.38, 0.86
1.00, 0.87
1.00, 0.86
1.00, 0.87
1.00, 0.86
1.00, 0.86
0.40, 0.82
0.89, 0.87
0.88, 0.86
1.00, 0.85
0.30, 0.84
0.78, 0.84
1.00, 0.87
1.00, 0.84
0.00, 0.83
0.89, 0.85
1.00, 0.87
1.00, 0.84
0.75, 0.87
1.00, 0.87
0.50, 0.77
1.00, 0.88
1.00, 0.85
0.62, 0.85
0.44, 0.83
1.00, 0.88
0.89, 0.84
0.25, 0.77
0.88, 0.83
1.00, 0.86
1.00, 0.87
0.88, 0.85
0.89, 0.86
0.75, 0.86
1.00, 0.83
0.75, 0.75
1.00, 0.87
0.89, 0.85
0.43, 0.85
1.00, 0.88
0.00, 0.76
1.00, 0.85
1.00, 0.87
0.90, 0.85
1.00, 0.88
1.00, 0.87
0.70, 0.82
0.44, 0.81
0.90, 0.86
1.00, 0.87
0.00, 0.77
1.00, 0.86
0.56, 0.81
1.00, 0.85
1.00, 0.87
1.00, 0.87
1.00, 0.87
0.89, 0.87
1.00, 0.86
0.00, 0.74
1.00, 0.86
0.80, 0.86
1.00, 0.84
1.00, 0.87
0.20, 0.84
1.00, 0.87
1.00, 0.87
0.00, 0.75
0.00, 0.75
0.38, 0.87
0.86, 0.83
1.00, 0.87
1.00, 0.82
0.00, 0.75
1.00, 0.87
1.00, 0.87
1.00, 0.83
0.00, 0.75
0.00, 0.76
0.38, 0.78
0.00, 0.79
1.00, 0.87
1.00, 0.84
1.00, 0.86
1.00, 0.88
1.00, 0.87
1.00, 0.85
1.00, 0.86
1.00, 0.81
0.25, 0.77
1.00, 0.86
0.00, 0.84
0.88, 0.87
0.86, 0.86
0.00, 0.75
0.00, 0.78
1.00, 0.86
0.33, 0.85
0.00, 0.75
1.00, 0.87
1.00, 0.86
0.00, 0.75
0.00, 0.76
0.78, 0.85
1.00, 0.85
0.71, 0.87
0.90, 0.84
1.00, 0.85
1.00, 0.84
0.50, 0.87
0.57, 0.79
0.22, 0.79
0.00, 0.75
1.00, 0.86
1.00, 0.83
1.00, 0.86
1.00, 0.87
0.70, 0.85
0.00, 0.80
1.00, 0.88
1.00, 0.87
0.89, 0.86
1.00, 0.87
1.00, 0.87
0.22, 0.81
1.00, 0.88
0.89, 0.85
0.00, 0.75
0.89, 0.86
1.00, 0.86
1.00, 0.84
1.00, 0.88
1.00, 0.87
1.00, 0.88
1.00, 0.77
1.00, 0.86
1.00, 0.86
1.00, 0.87
1.00, 0.84
0.57, 0.75
0.29, 0.76
0.70, 0.83
0.62, 0.86
0.50, 0.76
0.60, 0.83
0.00, 0.75
0.88, 0.86
0.86, 0.83
0.29, 0.85
0.43, 0.85
1.00, 0.81
1.00, 0.86
1.00, 0.86
1.00, 0.88
0.62, 0.76
1.00, 0.87
1.00, 0.86
0.25, 0.84
1.00, 0.79
1.00, 0.87
1.00, 0.87
1.00, 0.86
0.29, 0.76
0.00, 0.74
1.00, 0.85
1.00, 0.87
0.00, 0.75
0.00, 0.74
0.88, 0.75
0.88, 0.86
0.00, 0.84
0.00, 0.84
1.00, 0.86
0.86, 0.84
1.00, 0.88
1.00, 0.87
0.50, 0.76
0.44, 0.77
0.88, 0.78
1.00, 0.87
1.00, 0.87
0.00, 0.74
0.88, 0.88
0.67, 0.81
0.78, 0.84
0.86, 0.85
1.00, 0.87
0.00, 0.75
1.00, 0.84
0.14, 0.80
1.00, 0.88
0.29, 0.75
1.00, 0.86
0.86, 0.87
1.00, 0.86
0.70, 0.78
1.00, 0.85
0.86, 0.87
1.00, 0.84
1.00, 0.88
0.89, 0.86
1.00, 0.82
1.00, 0.87
0.33, 0.85
1.00, 0.86
0.00, 0.74
1.00, 0.86
1.00, 0.83
1.00, 0.84
0.00, 0.76
0.00, 0.80
1.00, 0.84
0.29, 0.75
1.00, 0.81
0.62, 0.84
0.62, 0.75
1.00, 0.87
0.80, 0.84
0.86, 0.87
1.00, 0.87
1.00, 0.86
0.60, 0.82
1.00, 0.87
0.60, 0.86
1.00, 0.87
0.62, 0.83
0.62, 0.77
0.78, 0.86
1.00, 0.86
0.75, 0.86
1.00, 0.87
1.00, 0.86
1.00, 0.86
1.00, 0.84
0.67, 0.86
1.00, 0.84
1.00, 0.87
0.75, 0.86
0.50, 0.75
0.14, 0.80
1.00, 0.86
0.90, 0.86
1.00, 0.86
1.00, 0.86
1.00, 0.84
1.00, 0.87
1.00, 0.85
0.88, 0.85
1.00, 0.87
0.33, 0.75
1.00, 0.87
0.86, 0.87
0.12, 0.83
1.00, 0.88
0.20, 0.77
0.43, 0.82
0.89, 0.87
1.00, 0.87
0.86, 0.85
0.00, 0.84
1.00, 0.88
1.00, 0.86
1.00, 0.87
0.14, 0.84
1.00, 0.87
1.00, 0.87
0.25, 0.76
0.00, 0.84
0.75, 0.85
0.78, 0.87
0.00, 0.77
1.00, 0.87
0.30, 0.83
1.00, 0.85
0.86, 0.85
0.00, 0.81
0.00, 0.74
1.00, 0.88
0.86, 0.80
1.00, 0.88
0.89, 0.86
0.00, 0.74
1.00, 0.87
0.00, 0.76
1.00, 0.87
0.25, 0.82
0.00, 0.74
1.00, 0.87
1.00, 0.87
1.00, 0.87
0.50, 0.76
1.00, 0.87
1.00, 0.87
0.00, 0.77
0.86, 0.84
1.00, 0.87
1.00, 0.84
1.00, 0.86
0.00, 0.77
1.00, 0.88
0.00, 0.75
1.00, 0.87
1.00, 0.78
1.00, 0.78
0.00, 0.75
0.89, 0.87
1.00, 0.87
0.30, 0.86
0.00, 0.74
0.11, 0.74
0.90, 0.85
0.88, 0.87
1.00, 0.86
0.57, 0.85
1.00, 0.87
0.90, 0.85
1.00, 0.85
0.86, 0.87
1.00, 0.85
1.00, 0.86
1.00, 0.86
1.00, 0.87
1.00, 0.87
0.29, 0.84
0.43, 0.81
1.00, 0.86
0.22, 0.74
0.22, 0.77
0.88, 0.85
0.43, 0.80
0.88, 0.87
1.00, 0.85
1.00, 0.87
0.25, 0.75
0.25, 0.87
1.00, 0.88
0.62, 0.80
1.00, 0.87
0.78, 0.87
0.86, 0.83
0.88, 0.84
0.29, 0.82
1.00, 0.87
0.57, 0.77
0.00, 0.84
1.00, 0.87
0.00, 0.74
0.71, 0.79
1.00, 0.88
1.00, 0.86
0.88, 0.86
1.00, 0.87
0.71, 0.77
1.00, 0.87
1.00, 0.87
1.00, 0.87
0.86, 0.87
1.00, 0.88
0.25, 0.79
0.80, 0.87
0.50, 0.87
1.00, 0.88
1.00, 0.86
1.00, 0.87
0.44, 0.87
1.00, 0.83
0.71, 0.86
0.56, 0.85
0.29, 0.84
0.38, 0.78
1.00, 0.85
1.00, 0.88
0.00, 0.78
0.33, 0.76
1.00, 0.83
0.88, 0.85
1.00, 0.80
1.00, 0.88
0.88, 0.86
1.00, 0.86
0.00, 0.75
0.38, 0.75
1.00, 0.86
1.00, 0.87
0.75, 0.87
0.60, 0.85
0.25, 0.84
1.00, 0.88
1.00, 0.86
0.89, 0.85
1.00, 0.86
0.67, 0.86
0.00, 0.87
1.00, 0.87
0.88, 0.85
0.00, 0.75
0.12, 0.85
1.00, 0.87
0.89, 0.85
1.00, 0.87
1.00, 0.86
1.00, 0.87
0.86, 0.86
0.88, 0.87
1.00, 0.79
0.50, 0.85
1.00, 0.85
0.40, 0.75
0.00, 0.84
0.86, 0.84
0.67, 0.87
0.78, 0.76
1.00, 0.86
1.00, 0.88
0.90, 0.88
1.00, 0.87
1.00, 0.87
0.10, 0.84
0.00, 0.74
0.29, 0.76
1.00, 0.87
0.78, 0.87
1.00, 0.85
1.00, 0.87
0.40, 0.87
0.80, 0.86
0.80, 0.86
1.00, 0.84
1.00, 0.86
1.00, 0.86
1.00, 0.85
0.86, 0.88
0.70, 0.84
1.00, 0.87
0.86, 0.87
1.00, 0.87
